dataset,seed,lambda,auc_roc,neg_brier
Heart Disease,4,0.2,0.8930555555555555,-0.13352222486833448
Heart Disease,4,0.3,0.8944444444444444,-0.1334226284150042
Heart Disease,4,0.4,0.8944444444444444,-0.13329979283347115
Heart Disease,4,0.5,0.8944444444444444,-0.13314572996507956
Heart Disease,4,0.6,0.8930555555555555,-0.13294994364650103
Heart Disease,4,0.7,0.8916666666666666,-0.1327023696958331
Heart Disease,4,0.8,0.8916666666666666,-0.13241516097657022
Heart Disease,4,0.9,0.8986111111111111,-0.13225431343104124
Heart Disease,4,1.0,0.8958333333333333,-0.13331511890988348
Heart Disease,4,1.1,0.8791666666666667,-0.14298858948059182
Heart Disease,4,1.2,0.8736111111111111,-0.1633531885420861
Heart Disease,4,1.3,0.8722222222222222,-0.17119870379006683
Heart Disease,4,1.4,0.8694444444444445,-0.17351200581269577
Heart Disease,4,1.5,0.8694444444444445,-0.1742974686263455
Heart Disease,4,1.6,0.8694444444444445,-0.17458396071915253
Heart Disease,4,1.7,0.8694444444444445,-0.17468094069388204
Heart Disease,4,1.8,0.8694444444444445,-0.1746987273866819
Heart Disease,4,1.9,0.8694444444444445,-0.17468186605844663
Heart Disease,4,2.0,0.8694444444444445,-0.17464998239060425
Pima Diabetes,0,0.0,0.82794694563796,-0.15948987886167068
Pima Diabetes,0,0.1,0.82794694563796,-0.15948297471301215
Pima Diabetes,0,0.2,0.8277601345040164,-0.15947520158214065
Pima Diabetes,0,0.3,0.8271997011021857,-0.15946645860820674
Pima Diabetes,0,0.4,0.8270128899682421,-0.15945669703972065
Pima Diabetes,0,0.5,0.8273865122361292,-0.15944603442114114
Pima Diabetes,0,0.6,0.8273865122361294,-0.15943505866475224
Pima Diabetes,0,0.7,0.8268260788342985,-0.15942567659979295
Pima Diabetes,0,0.8,0.8275733233700728,-0.15942364700586945
Pima Diabetes,0,0.9,0.8268260788342985,-0.1594465829174128
Pima Diabetes,0,1.0,0.8273865122361294,-0.15954533333684565
Pima Diabetes,0,1.1,0.8271997011021857,-0.159712954889704
Pima Diabetes,0,1.2,0.8161778441995143,-0.1617398183837103
Pima Diabetes,0,1.3,0.8031010648234636,-0.16662307148984065
Pima Diabetes,0,1.4,0.803287875957407,-0.16709489316136394
Pima Diabetes,0,1.5,0.8044087427610686,-0.16706090498924528
Pima Diabetes,0,1.6,0.8044087427610686,-0.16698481078040692
Pima Diabetes,0,1.7,0.8040351204931814,-0.16691774844405455
Pima Diabetes,0,1.8,0.8038483093592377,-0.16686376393205513
Pima Diabetes,0,1.9,0.8038483093592377,-0.16682060713141597
Pima Diabetes,0,2.0,0.8036614982252942,-0.16678572359868146
Pima Diabetes,1,0.0,0.7862962962962963,-0.1796777243553549
Pima Diabetes,1,0.1,0.7862962962962964,-0.17938155298577577
Pima Diabetes,1,0.2,0.7874074074074074,-0.17903654098835087
Pima Diabetes,1,0.3,0.7887037037037037,-0.17863383033108698
Pima Diabetes,1,0.4,0.7887037037037036,-0.17816571969308204
Pima Diabetes,1,0.5,0.7912962962962963,-0.1776302936956561
Pima Diabetes,1,0.6,0.7922222222222223,-0.1770406934486467
Pima Diabetes,1,0.7,0.793888888888889,-0.17643687448048628
Pima Diabetes,1,0.8,0.7955555555555556,-0.17588041895065468
Pima Diabetes,1,0.9,0.7983333333333333,-0.1754014112625887
Pima Diabetes,1,1.0,0.7966666666666667,-0.17499357221134307
Pima Diabetes,1,1.1,0.7948148148148149,-0.17493087468387442
Pima Diabetes,1,1.2,0.7933333333333333,-0.1758210015671844
Pima Diabetes,1,1.3,0.7855555555555556,-0.17758314220555912
Pima Diabetes,1,1.4,0.7814814814814816,-0.17948742487004016
Pima Diabetes,1,1.5,0.7787037037037037,-0.18108591368502708
Pima Diabetes,1,1.6,0.7775925925925925,-0.18230661907373155
Pima Diabetes,1,1.7,0.7772222222222221,-0.18321674322409973
Pima Diabetes,1,1.8,0.7748148148148147,-0.18389888846299304
Pima Diabetes,1,1.9,0.7753703703703703,-0.18441853354401688
Pima Diabetes,1,2.0,0.7748148148148148,-0.18482215652614692
Pima Diabetes,2,0.0,0.8350457687278162,-0.15929534208311713
Pima Diabetes,2,0.1,0.8348589575938725,-0.15932046815749923
Pima Diabetes,2,0.2,0.8348589575938725,-0.1593487091354056
Pima Diabetes,2,0.3,0.8344853353259853,-0.15938048781439132
Pima Diabetes,2,0.4,0.834672146459929,-0.1594161539850967
Pima Diabetes,2,0.5,0.8342985241920419,-0.15945575732072553
Pima Diabetes,2,0.6,0.8337380907902111,-0.15949846053570835
Pima Diabetes,2,0.7,0.8337380907902111,-0.15954098585862495
Pima Diabetes,2,0.8,0.8335512796562675,-0.15957327905544066
Pima Diabetes,2,0.9,0.8331776573883803,-0.15956548158070402
Pima Diabetes,2,1.0,0.8329908462544368,-0.15942570943267664
Pima Diabetes,2,1.1,0.8326172239865496,-0.15886613345158573
Pima Diabetes,2,1.2,0.8372875023351392,-0.1572913069105982
Pima Diabetes,2,1.3,0.8387819914066879,-0.15619481003150454
Pima Diabetes,2,1.4,0.8402764804782366,-0.15681292632921784
Pima Diabetes,2,1.5,0.8406501027461237,-0.15648972194009328
Pima Diabetes,2,1.6,0.8436390808892211,-0.15601228096049763
Pima Diabetes,2,1.7,0.8441995142910518,-0.15572767943767277
Pima Diabetes,2,1.8,0.8443863254249953,-0.155592980980237
Pima Diabetes,2,1.9,0.8432654586213338,-0.15554169206985538
Pima Diabetes,2,2.0,0.8432654586213338,-0.1555334685270008
